Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
,,,,
Name,Location,License Type,Priority/Expedited Status,Executive Summary
"Artis, LLC d/b/a Little Dog Delivery","29 Harding Street, Middleborough, MA 02346",Delivery Courier ,SEP," Artis, LLC d/b/a Little Dog Delivery Executive Summary"
"Ascend Mass, LLC","1089 Washington Street, Newton, MA 02465",Retailer,General,"Ascend Mass, LLC Executive Summary"
"Ascend Mass, LLC","268-274 Friend Street, Boston, MA 02114",Retailer,General,"Ascend Mass, LLC Executive Summary"
"Ashli's, Inc. d/b/a Zahara ","70 Frank Mossberg Drive, Attleboro, MA 02703 ",Retailer,General,"Ashli’s, Inc. d/b/a Zahara Executive Summary"
"Aspen Blue Cultures, Inc d/b/a Terps","40 Forest Street, Attleboro, MA 02703",Retailer,General,"Aspen Blue Cultures, Inc d/b/a Terps Executive Summary"
"Assured Testing Laboratories, LLC","300 Potash Hill Rd., Suite A, Tyngsborough, MA 01879",Independent Testing Laboratory,General,"Assured Testing Laboratories, LLC Executive Summary"
"Atlantic Farms, LLC","126 Main Road, Colrain, MA 01340","Cultivation, Tier 7 – Outdoor",Outdoor Cultivator,"Atlantic Farms, LLC Executive Summary"
"Atlantic Medicinal Partners, Inc.","774 Crawford Street, Fitchburg, MA 01420 ","Cultivation, Tier 2 – Indoor",MTC,"Atlantic Medicinal Partners, Inc. Executive Summary"
"Atlantic Medicinal Partners, Inc.","774 Crawford Street, Fitchburg, MA 01420 ",Retailer,MTC,"Atlantic Medicinal Partners, Inc. Executive Summary"
"Atlantic Medicinal Partners, Inc.","774 Crawford Street, Fitchburg, MA 01420 ",Product Manufacturer,MTC,"Atlantic Medicinal Partners, Inc. Executive Summary"
"Atlantic Medicinal Partners, Inc.","4 Main Street, Brockton, MA 01913",Retailer,MTC,"Atlantic Medicinal Partners, Inc. Executive Summary"
"Atlas Marketplace & Delivery, LLC d/b/a Plymouth Armor Group","14 Apollo 11 Road, Unit 2, Plymouth, MA 02760",Third-Party Transporter,General,"Atlas Marketplace & Delivery, LLC d/b/a Plymouth Armor Group Executive Summary"
"ATOZ Laboratories, Inc.","100 South Street, Hopkinton, MA 01748",Independent Testing Laboratory,Independent Testing Laboratory,"ATOZ Laboratories, Inc. Executive Summary"
"Aries Laboratory, LLC d/b/a Indo Laboratories","257 Simarano Drive, Suite 100, Marlborough, MA 01752",Independent Testing Laboratory,Independent Testing Laboratory,"Aries Laboratory, LLC d/b/a Indo Laboratories Executive Summary"
"B Leaf Wellness Centre, LLC","24 W. Main Street, Ware, MA 01082",Retailer,General,"B Leaf Wellness Centre, LLC Executive Summary"
"Bailey's Buds, LLC","1935 Lakeview Avenue, Dracut, MA 01826",Microbusiness ,"SEP, Microbusiness ","Bailey's Buds, LLC Executive Summary"
"Bask, Inc.","2 Pequod Road, Fairhaven, MA 02719",Retailer,MTC,"Bask, Inc. Executive Summary"
"Beacon Compassion, Inc. d/b/a UpTop ","1524 VFW Parkway, West Roxbury, MA 02132",Retailer,General,"Beacon Compassion, Inc. d/b/a UpTop Executive Summary"
"Beacon Compassion, Inc. d/b/a UpTop ","315 Worcester Road, Framingham, MA 01701",Retailer,MTC,"Beacon Compassion, Inc. d/b/a UpTop Executive Summary"
Berkshire Roots ,"501 Dalton Avenue, Pittsfield, MA 01201","Cultivation, Tier 2 – Indoor 
",MTC,Berkshire Roots Executive Summary
Berkshire Roots ,"501 Dalton Avenue, Pittsfield, MA 01201",Product Manufacturer,MTC,Berkshire Roots Executive Summary
Berkshire Roots ,"501 Dalton Avenue, Pittsfield, MA 01201",Retailer,MTC,Berkshire Roots Executive Summary
Berkshire Roots ,"501 Dalton Avenue, Pittsfield, MA 01201",Marijuana Transporter with Other Existing Marijuana Establishment License,MTC,Berkshire Roots Executive Summary
Berkshire Roots,"253 Meridian Street, East Boston, MA 02128",Retailer,MTC,Berkshire Roots Executive Summary
"Berkshire Welco, LLC d/b/a The Pass","1375 Main Street, Sheffield, MA 01257",Retailer,General,"Berkshire Welco, LLC d/b/a The Pass Executive Summary"
"Berkshire Welco, LLC d/b/a The Pass","1375 Main Street, Sheffield, MA 01257","Cultivation, Tier 5 – Indoor",General,"Berkshire Welco, LLC d/b/a The Pass Executive Summary"
"Berkshire Welco, LLC d/b/a The Pass","1375 Main Street, Sheffield, MA 01257",Product Manufacturer,General,"Berkshire Welco, LLC d/b/a The Pass Executive Summary"
"Berkshire Welco, LLC d/b/a The Pass","89-93 Ashley Falls Road, Sheffield, MA 01257","Cultivation, Tier 7 – Outdoor",Outdoor Cultivator,"Berkshire Welco, LLC d/b/a The Pass Executive Summary"
"BKPN, LLC d/b/a Nova Farms ","1274 Merrimack Street, Dracut, MA 01826",Retailer,General,"BKPN, LLC d/b/a Nova Farms  Executive Summary"
"Blackstone Valley Naturals, LLC d/b/a Yamna","660 Douglas Street, Unit 400, Uxbridge, MA 01569",Microbusiness,General,"Blackstone Valley Naturals, LLC d/b/a Yamna Executive Summary"
"Boston Bud Factory, Inc.","73 Sargeant St, Holyoke, MA 01040",Product Manufacturer,SEP,"Boston Bud Factory, Inc. Executive Summary"
"B.O.T. Realty, LLC d/b/a OMG Cannabis ","223 Lunenburg Street, Fitchburg, MA 01420",Retailer,General,"B.O.T. Realty, LLC d/b/a OMG Cannabis Executive Summary"
"Boston Bud Factory, Inc.","73 Sargeant St, Holyoke, MA 01040",Retailer,SEP,"Boston Bud Factory, Inc. Executive Summary"
"Bracts & Pistils, LLC","144 West Britannia Street, Taunton, MA 02780",Delivery Courier,EEA,"Bracts & Pistils, LLC Executive Summary"
Bud’s Goods and Provisions Corp.,"1540 Bedford Street, Abington, MA 02351",Retailer,General,Bud’s Goods and Provisions Corp. Executive Summary 
Bud’s Goods and Provisions Corp.,"330-350 Pleasant Street, Watertown, MA 02472",Retailer,MTC,Bud’s Goods and Provisions Corp. Executive Summary 
Bud’s Goods and Provisions Corp. f/k/a Trichome Health Corp.,"64 West Boylston Street Worcester, MA 01606
",Retailer,MTC,Bud’s Goods and Provisions Corp. f/k/a Trichome Health Corp. Executive Summary
"BWell Holdings, Inc.","220 Commercial Street, Unit 2, Provincetown, MA 02657",Retailer,DBE,"BWell Holdings, Inc. Executive Summary"
"Calyx Peak of MA, Inc. d/b/a Local Cannabis Co.","16 New Ocean Street, Swampscott, MA 01907
",Retailer,General,"Calyx Peak of MA, Inc. d/b/a Local Cannabis Co.Executive Summary"
"Cannabis Connection, Inc.","40 Westfield Industrial Park Westfield, MA 01085",Retailer,General,"Cannabis Connection, Inc. Executive Summary"
"Canna Provisions, Inc.","220 Housatonic Street, Lee, MA 01238",Retailer,General,"Canna Provisions, Inc. Executive Summary"
"Canna Provisions, Inc.","380 Dwight Street, Holyoke, MA 01040",Retailer,General,"Canna Provisions, Inc. Executive Summary"
"Canna Provisions, Inc.","1884 North Main Street, Sheffield, MA 01257","Cultivation, Tier 1 – Indoor",MTC,"Canna Provisions, Inc. Executive Summary"
Cannatech Medicinals Inc.,"1100 Innovation Way, Assonet, MA 02702","Cultivation, Tier 2 – Indoor",MTC,Cannatech Medicinals Inc. Executive Summary
"Cannavanna, Inc. f/k/a Fidelity Wellness Center","256 Weymouth Street, Rockland, MA 02370",Retailer,MTC,"Cannavanna, Inc. f/k/a Fidelity Wellness Center Executive Summary"
"Capeway Cannabis, LLC","307 Tremont Street, Carver, MA 02330",Retailer,DBE,"Capeway Cannabis, LLC Executive Summary"
"Caregiver-Patient Connection, LLC d/b/a Local Roots","371 Lunenburg Street, Fitchburg, MA 01420",Retailer,MTC,"Caregiver-Patient Connection, LLC d/b/a Local Roots Executive Summary"
"Caregiver-Patient Connection, LLC d/b/a Local Roots","365 Main Street, Sturbridge, MA 01566",Retailer,General,"Caregiver-Patient Connection, LLC d/b/a Local Roots Executive Summary"
"Caregiver-Patient Connection, LLC","60 Tripp Street, Framingham, MA 01701",Product Manufacturer,MTC,"Caregiver-Patient Connection, LLC Executive Summary"
"Caregiver-Patient Connection, LLC","295 Vernon Avenue, Barre, MA 01005","Cultivation, Tier 2 – Indoor",MTC,"Caregiver-Patient Connection, LLC Executive Summary"
"Caregiver-Patient Connection, LLC","295 Vernon Avenue, Barre, MA 01005","Cultivation, Tier 2 – Outdoor",MTC,"Caregiver-Patient Connection, LLC Executive Summary"
"Caregiver-Patient Connection, LLC","61C Tripp St., Framingham, MA 01701","Cultivation, Tier 3 – Indoor ",MTC," Caregiver-Patient Connection, LLC Executive Summary"
"Caroline’s Cannabis, LLC","640 Douglas Street, Uxbridge, MA 01569",Retailer,SEP,"Caroline’s Cannabis, LLC Executive Summary"
"Caroline’s Cannabis, LLC","4 Charlesview Road, Hopedale, MA 01747",Retailer,SEP,"Caroline’s Cannabis, LLC Executive Summary"
"CCC Wellfleet NV, LLC d/b/a Cape Cod Cannabis","1446 State Highway, Route 6, Wellfleet, MA 02667",Retailer,General,"CCC Wellfleet NV, LLC d/b/a Cape Cod Cannabis Executive Summary"
CDX Analytics,"39 Norman Street, Salem, MA 01970",Independent Testing Laboratory,MTC,CDX Analytics Executive Summary
"Central Ave Compassionate Care, Inc.","31 Central Avenue, Ayer, MA 01432","Cultivation, Tier 1 – Indoor",MTC,"Central Ave Compassionate Care, Inc. Executive Summary"
"Central Ave Compassionate Care, Inc.","31 Central Avenue, Ayer, MA 01432",Product Manufacturer,MTC,"Central Ave Compassionate Care, Inc. Executive Summary"
"Cloud Creamery, LLC","119 Herbert Street, Framingham, MA 01702",Product Manufacturer,General,"Cloud Creamery, LLC Executive Summary"
"Clovercraft, LLC d/b/a Budzee","17 East Street, Easthampton, MA 01027",Marijuana Delivery Operator,SEP,"Clovercraft, LLC d/b/a Budzee Executive Summary"
"CNA Stores, Inc.","558 River Street, Haverhill, MA 01830",Retailer,DBE,"CNA Stores, Inc. Executive Summary"
"CNA Stores, Inc.","77 Macy Street, Amesbury, MA 01913",Retailer,DBE,"CNA Stores, Inc. Executive Summary"
"Coastal Cultivars, Inc.","454 Main Street, Great Barrington, MA 01230",Retailer,DBE,"Coastal Cultivars, Inc. Executive Summary"
"Coastal Cultivars, Inc.","23 Patterson Brook Road, Wareham, MA 02576","Cultivation, Tier 11 – Outdoor",Outdoor Cultivator,"Coastal Cultivars, Inc. Executive Summary"
"Coastal Healing, Inc","248 State Road, Westport, MA 02790",Retailer,General,"Coastal Healing, Inc. Executive Summary"
"Coastal Healing, Inc","248 State Road, Westport, MA 02790","Cultivation, Tier 3 - Indoor",General,"Coastal Healing, Inc Executive Summary"
Coastal Solutions,"11 Richards Road, Unit #9, Plymouth, MA 02360",Third-Party Transporter,General,Coastal Solutions Executive Summary
"Coil Brothers, LLC","325 Ayer Road, Unit 116, Harvard, MA 01451",Product Manufacturer,General,"Coil Brothers, LLC Executive Summary"
"CommCan, Inc.","2 Marc Road, Medway, MA 02053","Cultivation, Tier 5 – Indoor",MTC,"CommCan, Inc. Executive Summary"
"CommCan, Inc.","2 Marc Road, Medway, MA 02053",Product Manufacturer,MTC,"CommCan, Inc. Executive Summary"
"CommCan, Inc.","1525 Main Street, Millis, MA 02054",Retailer,MTC,"CommCan, Inc. Executive Summary"
"CommCan, Inc.","150 Barney Avenue Rehoboth, MA 02769",Retailer,DBE,"CommCan, Inc. Executive Summary"
"Commonwealth Alternative Care, Inc. ","1090 West Chestnut Street, Brockton, MA 02301",Retailer,MTC,"Commonwealth Alternative Care, Inc. Executive Summary"
"Community Care Collective, Inc.","537 Great Road, Littleton, MA 01460",Retailer,General,"Community Care Collective, Inc. Executive Summary"
"Community Care Collective, Inc.","4 Republic Road, Billerica, MA 01862",Retailer,General,"Community Care Collective, Inc. Executive Summary"
"Community Growth Partners Delivery, Inc. d/b/a Delivery by Rebelle","20 Ladd Avenue, Northampton, MA 01060",Marijuana Delivery Operator,EEA,"Community Growth Partners Delivery, Inc. d/b/a Delivery by Rebelle Executive Summary"
Community Growth Partners Northampton Operations LLC,"20 Ladd Avenue, Northampton, MA 01060",Product Manufacturing,General,Community Growth Partners Northampton Operations LLC Executive Summary
"Community Growth Partners, Great Barrington Operation, LLC","783 South Main Street, Great Barrington, MA 01230",Retailer,DBE,"Community Growth Partners Great Barrington Operations, LLC Executive Summary"
"Core Empowerment, LLC d/b/a Seed","401A Centre Street, Boston, MA 02130",Retailer,DBE,"Core Empowerment, LLC d/b/a Seed Executive Summary"
"Cosmopolitan Dispensary, Inc.","82 Hartwell Street, Fall River, MA 02720",Retailer,General,"Cosmopolitan Dispensary, Inc. Executive Summary "
"CTDW, LLC d/b/a Seagrass","3 Dodge Street, Salem, MA 01970",Retailer,General,"CTDW, LLC d/b/a Seagrass Executive Summary"
Cultivate Holdings,"1764 Main Street, Leicester, MA 01524","Cultivation, Tier 2 – Indoor ",MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"1764 Main Street, Leicester, MA 01524",Product Manufacturer,MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"1764 Main Street, Leicester, MA 01524",Retailer,MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"250 Worcester Road, Framingham, MA 01702",Retailer,MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"100 Campanelli Drive, Uxbridge, MA 01569","Cultivation, Tier 5 – Indoor",MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"100 Campanelli Drive, Uxbridge, MA 01569",Product Manufacturer,MTC,Cultivate Holdings Executive Summary
Cultivate Holdings,"1023 Southbridge Street, Worcester, MA 01610",Retailer,MTC,Cultivate Holdings Executive Summary
"Cultivauna, LLC d/b/a LEVIA","68 Tenney Street, Georgetown, MA 01833",Product Manufacturer,SEP,"Cultivauna, LLC d/b/a LEVIA Executive Summary"
"Curaleaf Massachusetts, Inc.","30 Worcester Road, Unit B, Webster, MA 01570","Cultivation, Tier 11 – Indoor ",MTC,"Curaleaf Massachusetts, Inc. Executive Summary"
"Curaleaf Massachusetts, Inc.","30 Worcester Road, Unit B, Webster, MA 01570",Product Manufacturer,MTC,"Curaleaf Massachusetts, Inc. Executive Summary"
"Curaleaf Massachusetts, Inc.","425 Main Street, Oxford, MA 01540",Retailer,MTC,"Curaleaf Massachusetts, Inc. Executive Summary"
"Curaleaf Massachusetts, Inc.","170 Commercial Street, Provincetown, MA 02657",Retailer,MTC,"Curaleaf Massachusetts, Inc. Executive Summary"
"Curaleaf Massachusetts, Inc.","124 West Street, Unit D, Ware, MA 01082",Retailer,MTC,"Curaleaf Massachusetts, Inc. Executive Summary"
"Cypress Tree Management, Inc. d/b/a Redi","24-26 Elliot Street, Newton, MA 02461",Retailer,General,"Cypress Tree Management, Inc. d/b/a Redi Executive Summary"
"Cypress Tree Management, Inc. d/b/a Redi","321 Speen Street, Natick, MA 01760",Retailer,General,"Cypress Tree Management, Inc. d/b/a Redi Executive Summary"
"D2N2, LLC d/b/a Calyx Berkshire Dispensary","307 Main Street, Great Barrington, MA 01230",Retailer,DBE,"D2N2, LLC d/b/a Calyx Berkshire Dispensary Executive Summary"
"DayDreamz Estates, LLC","68 Sandisfield Road, Sandisfield, MA 01255","Cultivation, Tier 3 - Outdoor",Outdoor Cultivator,"DayDreamz Estates, LLC Executive Summary"
"DB Delivery MA, LLC d/b/a Doobie","4 Recovery Road, Wareham, MA 02571",Marijuana Delivery Operator,EEA,"DB Delivery MA, LLC d/b/a Doobie Executive Summary"
"DDM Sales, Inc. d/b/a DDM Cannabis","1 Lloyd Street, Blackstone, MA, 01504",Retailer,DBE,"DDM Sales, Inc. d/b/a DDM Cannabis Executive Summary"
"Debilitating Medical Condition Treatment Centers, Inc.","3 River Road, Whately, MA 01093",Product Manufacturer,MTC,"Debilitating Medical Condition Treatment Centers, Inc. Executive Summary"
"Debilitating Medical Condition Treatment Centers, Inc.","7 River Road, Whately, MA 01093","Cultivation, Tier 10 – Outdoor",Outdoor Cultivator,"Debilitating Medical Condition Treatment Centers, Inc. Executive Summary"
"Delta 420, LLC d/b/a Buds N Roses","199 Main Street, Blackstone, MA 01504",Retailer,General,"Delta 420, LLC d/b/a Buds N Roses Executive Summary"
"Diem Lynn, LLC","211-217 Lewis Street, Lynn, MA 01902",Retailer,General,"Diem Lynn, LLC Executive Summary"
"DMA Holdings (MA), LLC d/b/a Greatest Hits","35 Chase Avenue, Dudley, MA 01571",Retailer,General,"DMA Holdings (MA), LLC d/b/a Greatest Hits Executive Summary"
Dris Corporation d/b/a Your Green Package,"190 Farm Street, Suite B, Bellingham, MA 02019",Marijuana Transporter with Other Existing Marijuana Establishment License,SEP,Dris Corporation d/b/a Your Green Package Executive Summary
"Eagle Eyes Transport, Inc.","5 Robert J. Way, Plymouth, MA 02360",Third-Party Transporter,General,"Eagle Eyes Transport, Inc. Executive Summary"
"Elev8 Cannabis, Inc.","243 Main Street, Athol, MA 01331
",Retailer,General,"Elev8 Cannabis, Inc. Executive Summary"
"Elevated Roots, LLC","44 William C Gould Jr. Way, Kingston, MA 02364",Retailer,DBE,"Elevated Roots, LLC Executive Summary"
"Elevated Roots II, LLC","319 Monponsett Street, Halifax, MA 02338",Retailer,General,"Elevated Roots II, LLC Executive Summary"
"Emerald Grove, Inc.","3 Main Street, Unit 1, Eastham, MA 02642",Retailer,General,"Emerald Grove, Inc. Executive Summary"
"Enlite Cannabis Dispensary, LLC","371-391 Damon Road, Northampton, MA 01060",Retailer,General,"Enlite Cannabis Dispensary, LLC Executive Summary"
"EOS-Bittersweet, LLC d/b/a EOS Farm","1107 Barker Road, Pittsfield, MA 01201","Cultivation, Tier 2 – Indoor",DBE,"EOS-Bittersweet, LLC d/b/a EOS Farm Executive Summary"
"EOS-Bittersweet, LLC d/b/a EOS Farm","1107 Barker Road, Pittsfield, MA 01201","Cultivation, Tier 10 – Outdoor",DBE,"EOS-Bittersweet, LLC d/b/a EOS Farm Executive Summary"
"Erba C3 Dorchester, LLC","43 Freeport Street, Boston, MA 02122",Retailer,General,"Erba C3 Dorchester, LLC Executive Summary"
"Eskar Arlington, LLC","21 Broadway Street, Arlington, MA 02474",Retailer,General,"Eskar Arlington, LLC Executive Summary"
"Essex Apothecary, LLC","233 Western Avenue, Lynn, MA 01904",Retailer,DBE,"Essex Apothecary, LLC Executive Summary"
"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis","220 George Hannum Street, Suite B, Belchertown, MA 01007",Retailer,General,"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis Executive Summary"
"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis","221 State Road, North Adams, MA 01247",Retailer,General,"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis Executive Summary"
"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis","143 SW Cutoff, Worcester, MA 01604",Retailer,General,"Evergreen Strategies, LLC d/b/a Clear Sky Cannabis Executive Summary"
"Faded, LLC d/b/a Your Green Package","190 Farm Street, Suite B, Bellingham, MA 02109",Delivery Courier,SEP,"Faded, LLC d/b/a Your Green Package Executive Summary"
"FCC Holdings, LLC d/b/a Florence Cannabis Company","131 Texas Rd., Northampton, MA 01060",Microbusiness,Microbusiness,"FCC Holdings, LLC d/b/a Florence Cannabis Company Executive Summary"
Fernway LLC,"178 Industrial Drive, Northampton MA 01060",Product Manufacturer,General,Fernway LLC Executive Summary
"FFD Enterprises MA, Inc.
","510 State Road, West Tisbury, MA 02575",Retailer,General,"FFD Enterprises MA, Inc. Executive Summary"
"FFD Enterprises MA, Inc.
","90 Dr. Fisher Road, West Tisbury, MA 02575","Cultivation, Tier 1 – Indoor",MTC,"FFD Enterprises MA, Inc. Executive Summary"
"FFD Enterprises MA, Inc.
","90 Dr. Fisher Road, West Tisbury, MA 02575",Product Manufacturer,MTC,"FFD Enterprises MA, Inc. Executive Summary"
" Flower & Soul, Inc."," 894 Plymouth Street, Halifax, MA 02338",Retailer ,General," Flower & Soul, Inc. Executive Summary"
"Four Daughters Compassionate Care, Inc. ","1200 General Edwards Highway, Sharon, MA 02067","Cultivation, Tier 4 – Indoor",General,"Four Daughters Compassionate Care, Inc. Executive Summary"
"Four Daughters Compassionate Care, Inc. ","1200 General Edwards Highway, Sharon, MA 02067",Product Manufacturer,General,"Four Daughters Compassionate Care, Inc. Executive Summary"
"Four Daughters Compassionate Care, Inc. d/b/a Zen Leaf Sharon","2 Merchant Street, Unit 1, Sharon, MA 02067",Retailer,MTC,"Four Daughters Compassionate Care, Inc. Executive Summary"
"Four Daughters Compassionate Care, Inc. d/b/a Zen Leaf Plymouth","11 Richards Road, Plymouth, MA 02360",Retailer,MTC,"Four Daughters Compassionate Care, Inc. Executive Summary"
"Four Score Holdings, LLC d/b/a Terps","144 Sturbridge Road, Charlton, MA 01507",Retailer,General," Four Score Holdings, LLC d/b/a Terps Executive Summary"
Freshly Baked Company,"144 West Britannia Street, Taunton, MA 02780",Microbusiness with a Delivery Endorsement,"SEP, DBE, and Microbusiness",Freshly Baked Company Executive Summary
Frozen 4 Corporation,"24 Williams Way, Bellingham, MA 02019",Delivery Courier,EEA,Frozen 4 Corporation Executive Summary
Frozen 4 Corporation d/b/a South Shore Buds,"985 Plain Street, Marshfield, MA 02050",Retailer,EEA,Frozen 4 Corporation d/b/a South Shore Buds Executive Summary
"Full Harvest Moonz, Inc.","101 Plaistow Road, Haverhill, MA 01830",Retailer,DBE,"Full Harvest Moonz, Inc. Executive Summary"
"Full Harvest Moonz, Inc.","1201 Westford Street, Lowell, MA 01851",Retailer,DBE,"Full Harvest Moonz, Inc. Executive Summary"
"Galil Greenery, LLC d/b/a Balagan Cannabis","235 Main Street, Northampton, MA 01060",Retailer,General,"Galil Greenery, LLC d/b/a Balagan Cannabis Executive Summary"
"Ganesh Wellness, Inc. d/b/a Campfire Cannabis","65 West Boylston Street, West Boylston, MA 01583",Retailer,DBE,"Ganesh Wellness, Inc. d/b/a Campfire Cannabis Executive Summary"
Garden Remedies,"307 Airport Road, Fitchburg, MA 01420","Cultivation, Tier 3 – Indoor",MTC,Garden Remedies Executive Summary
Garden Remedies,"307 Airport Road, Fitchburg, MA 01420",Product Manufacturer,MTC,Garden Remedies Executive Summary
Garden Remedies,"697 Washington St, Newton, MA 02458",Retailer,MTC,Garden Remedies Executive Summary
Garden Remedies,"416 Boston Post Road E, Marlborough, MA 01752",Retailer,MTC,Garden Remedies Executive Summary
Garden Remedies,"732 Newburyport Turnpike, Melrose, MA 02176",Retailer,MTC,Garden Remedies Executive Summary
"Garden Wonders, Inc.","3 Route 146A, Millville, MA 01529",Retailer,General,"Garden Wonders, Inc. Executive Summary"
Gibby’s Garden,"660 Douglas Street, Uxbridge, MA 01569",Microbusiness,General,Gibby’s Garden Executive Summary
Good Chemistry,"20 Williams Way, Bellingham, MA 02019","Cultivation, Tier 4 – Indoor ",MTC,Good Chemistry Executive Summary
Good Chemistry,"20 Williams Way, Bellingham, MA 02019",Product Manufacturer,MTC,Good Chemistry Executive Summary
Good Chemistry,"9 Harrison Street, Worcester, MA 01604",Retailer,MTC,Good Chemistry Executive Summary
Good Chemistry,"390 Hopping Brook Road, Holliston, MA 01746",Product Manufacturer,General,Good Chemistry Executive Summary
Good Chemistry,"390 Hopping Brook Road, Holliston, MA 01746","Cultivation, Tier 3 – Indoor",General,Good Chemistry Executive Summary
"Good Feels, Inc.","23 Jayar Road, Suite 6, Medway, MA 02053",Product Manufacturer,DBE,"Good Feels, Inc. Executive Summary"
"Grass Appeal, LLC d/b/a Blackstone Valley Cannabis","79 River Road, Uxbridge, MA 01569",Retailer,DBE,"Grass Appeal, LLC d/b/a Blackstone Valley Cannabis Executive Summary"
"Green Analytics Massachusetts, LLC
d/b/a Steep Hill Massachusetts","40 Speen Street, 3rd Floor, Unit 301, Framingham, MA 01701",Independent Testing Laboratory,General,"Green Analytics Massachusetts, LLC d/b/a Steep Hill Massachusetts Executive Summary"
